1.3304,1.2927,1.3021,1.3212,1.2787
-1.3511,-1.2899,-1.3192,-1.3339,-1.3518
-1.139,0.84128,0.93584,0.12597,1.3767
-1.2948,-0.71629,-0.57964,-0.85794,2.0406
1.364,0.31513,0.42143,0.068467,-1.7466
-0.66749,-0.22803,0.36475,0.058588,-0.16271
-2.3252,0.64043,1.0741,0.43631,-1.5998
0.61625,1.8231,-0.043733,-0.83401,0.41468
2.593,1.3688,-0.20416,1.5734,-0.27434
0.43662,0.30483,-0.12732,0.11687,0.47926
-2.1621,-1.9593,-0.25309,1.6944,1.485
-2.5546,0.84223,0.046826,0.16887,0.48454
1.0494,2.0297,-0.47109,-0.99372,1.4892
-0.75375,0.42217,0.055972,0.56219,2.9536
0.06158,0.28706,-1.0256,-0.21267,-0.63998
-2.1619,-1.1995,-0.53296,-0.30038,-0.13202
-1.5362,-0.85028,0.50817,1.116,0.58027
0.36476,1.2883,0.099123,-0.44602,-0.87346
1.1402,-0.1689,1.2815,0.29397,0.3632
0.72053,-0.53733,-2.1369,-0.18963,1.3814
2.0672,-0.90822,-0.10387,0.14278,-1.2407
1.0527,-1.4144,0.38274,-0.69195,-0.4504
0.91833,0.4738,1.4198,-1.8188,2.1291
0.82402,0.96335,0.51129,0.078432,-0.99966
-0.90153,0.68021,-1.0106,0.23029,0.37481
1.4951,1.3737,-0.95448,0.31689,0.62811
-2.0109,2.3306,0.45669,1.2966,0.2775
0.29902,0.67426,1.045,0.37974,0.9166
-0.63373,-0.96417,-0.4392,0.98977,-1.1485
1.1426,0.36243,1.3926,1.1321,-0.63449
3.1417,-0.41022,-0.98535,-0.4789,0.9196
-3.0136,-0.79746,-0.10337,0.020299,0.68131
0.40834,0.67528,0.90888,0.66814,0.29816
0.1116,0.40329,0.30632,1.0163,1.6779
-0.33327,1.4253,2.2447,-1.0325,0.80704
0.48996,0.57167,0.59062,-3.1819,-0.0905
0.14511,-1.5177,-1.4797,0.80545,1.7198
-0.0066811,0.13492,0.32725,-0.79104,-0.076797
1.0193,-1.0244,0.33772,-0.087813,-1.6949
0.88477,1.0164,-0.38585,-1.057,-0.99739
0.65136,-1.0372,-0.96989,0.21088,1.2989
0.80925,1.6166,0.47657,1.147,-0.046163
-0.090394,-0.086241,1.5392,0.28754,0.8023
0.35892,1.0983,1.5641,0.91179,-1.2413
0.59765,1.0282,0.19449,-0.52323,0.37076
-0.37046,0.38903,-0.207,1.6861,-0.059232
0.052293,-0.36827,0.80033,1.0311,0.37488
2.049,1.9741,1.3616,2.3125,-2.4695
-1.0765,0.16752,0.76485,-0.49282,0.84246
1.0242,-0.64191,1.8569,0.84573,0.001674
-1.217,0.40434,2.2611,2.0741,-1.5637
-0.44945,-1.3883,1.0119,-0.71583,0.062764
